periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 706_Brucella,Brucellosis
202307,July 2023,202307,,R6f9znhg37c,Mandera County,KE_County_9,,822,38
202307,July 2023,202307,,Eey8fT4Im3y,Marsabit County,KE_County_10,,633,206
202307,July 2023,202307,,Y52XNJ50hYb,Meru County,KE_County_12,,164,133
202307,July 2023,202307,,fVra3Pwta0Q,Migori County,KE_County_44,,1610,510
202307,July 2023,202307,,wsBsC6gjHvn,Mombasa County,KE_County_1,,11,
202307,July 2023,202307,,ahwTMNAJvrL,Muranga County,KE_County_21,,27,9
202307,July 2023,202307,,jkG3zaihdSs,Nairobi County,KE_County_47,,799,155
202307,July 2023,202307,,ob6SxuRcqU4,Nakuru County,KE_County_32,,2664,570
202307,July 2023,202307,,t0J75eHKxz5,Nandi County,KE_County_29,,1422,563
202307,July 2023,202307,,kqJ83J2D72s,Narok County,KE_County_33,,2408,744
202307,July 2023,202307,,uepLTG8wGWJ,Nyamira County,KE_County_46,,790,259
202307,July 2023,202307,,mYZacFNIB3h,Nyandarua County,KE_County_18,,547,36
202307,July 2023,202307,,ptWVfaCIdVx,Nyeri County,KE_County_19,,118,4
